1.091952   -2681.93656549
1.191952   -2682.21794838
1.291952   -2682.38301150
1.391952   -2682.47713967
1.491952   -2682.52734662
1.591952   -2682.55022809
1.691952   -2682.55621850
1.791952   -2682.55198752
1.891952   -2682.54183029
1.991952   -2682.52851218
2.091952   -2682.51379173
2.191952   -2682.49877494
2.291952   -2682.48414366
2.391952   -2682.47025342
2.491952   -2682.45725943
2.591952   -2682.44526395
2.691952   -2682.43429620
2.791952   -2682.42432452
2.891952   -2682.41528323
2.991952   -2682.40709056
3.091952   -2682.39966619
3.191952   -2682.39294175
3.291952   -2682.38686654
3.391952   -2682.38140078
3.491952   -2682.37650715
3.591952   -2682.37214661
3.691952   -2682.36827800
3.791952   -2682.36485800
3.891952   -2682.36184124
3.991952   -2682.35918560
4.091952   -2682.35685038
4.191952   -2682.35479573
4.291952   -2682.35298718
4.391952   -2682.35139316
4.491952   -2682.34998430
4.591952   -2682.34873724
4.691952   -2682.34763116
4.791952   -2682.34664599
4.891952   -2682.34576574
4.991952   -2682.34497733
5.091952   -2682.34426867
5.191952   -2682.34363004
5.291952   -2682.34305355
5.391952   -2682.34253170
5.491952   -2682.34205741
5.591952   -2682.34162443
5.691952   -2682.34122722
5.791952   -2682.34086059
5.891952   -2682.34052029
5.991952   -2682.34020273
6.091952   -2682.33990491
6.191952   -2682.33962415
6.291952   -2682.33935833
6.391952   -2682.33910596
6.491952   -2682.33886578
6.591952   -2682.33863650
6.691952   -2682.33841693
6.791952   -2682.33820612
6.891952   -2682.33800345
6.991952   -2682.33780848
7.091952   -2682.33762079
7.191952   -2682.33743993
7.391952   -2682.33709714
7.491952   -2682.33693420
7.591952   -2682.33677432
7.691952   -2682.33662172
7.791952   -2682.33647348
7.891952   -2682.33632940
7.991952   -2682.33618985
8.091952   -2682.33605434
8.191952   -2682.33592284
8.291952   -2682.33579513
8.391952   -2682.33567145
8.491952   -2682.33554987
8.591952   -2682.33543193
8.691952   -2682.33531690
8.791952   -2682.33520479
8.891952   -2682.33509553
8.991952   -2682.33498911
9.091952   -2682.33488543
9.191952   -2682.33478429
9.291952   -2682.33468562
9.391952   -2682.33458921
9.491952   -2682.33449491
9.591952   -2682.33440295
9.691952   -2682.33431287
9.791952   -2682.33422500
9.891952   -2682.33413892
9.991952   -2682.33405473
